"GeoAreaCode","GeoAreaName","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
324,"Guinea","...","...","62.2","...","...","...","...","59.7","...","...","...","...","35.3","...","...","...","...","..."
332,"Haiti","...","...","...","...","...","...","...","...","...","...","...","...","23.5","...","...","...","...","..."
340,"Honduras","...","20.6","23.4","28.1","27.2","26.5","22.5","17.2","16.5","13.8","15","17.1","19.6","17.3","15.9","16.2","16","..."
348,"Hungary","...","...","...","...","0.2","0.7","0.2","0","0","0","0","0","0.2","0.2","0.7","0.5","...","..."
352,"Iceland","...","...","...","0","0.2","0","0.2","0","0","0","0.2","0.2","0","0","0","...","...","..."
356,"India","...","...","...","...","38.2","...","...","...","...","31.1","...","21.2","...","...","...","...","...","..."
360,"Indonesia","39.3","35.5","23","22.6","23.9","21.1","27.4","22.5","21.4","18.2","15.7","13.3","11.7","9.4","7.9","7.2","6.5","5.7"
364,"Iran (Islamic Republic of)","...","...","...","...","...","0.4","0.4","...","...","1","...","...","...","0.1","0.2","...","...","..."
368,"Iraq","...","...","...","...","...","...","2.1","...","...","...","...","...","2.5","...","...","...","...","..."
372,"Ireland","...","...","...","0.2","0","0","0.1","0","0.2","0.5","0.5","0.5","0.2","0.7","0.5","0.2","...","..."
376,"Israel","...","0.2","...","...","...","0.5","...","0.5","...","...","0.2","...","0.5","...","...","...","...","..."
380,"Italy","...","...","...","0.7","0.7","0.7","0.7","0.7","0.7","1","1.2","1.2","1.2","1.4","1.2","2","...","..."
384,"Côte d'Ivoire","...","...","23.2","...","...","...","...","...","29.1","...","...","...","...","...","...","28.2","...","..."
388,"Jamaica","...","...","2.8","...","1.7","...","...","...","...","...","...","...","...","...","...","...","...","..."
392,"Japan","...","...","...","...","...","...","...","...","0.2","...","...","...","...","...","...","...","...","..."
398,"Kazakhstan","...","10.5","6.9","4.6","2.3","6.9","0.6","0.3","0.1","0.2","0.1","0","0","0","0","0","...","..."
400,"Jordan","...","...","0.9","...","...","...","0.3","...","0.1","...","0.1","...","...","...","...","...","...","..."
404,"Kenya","...","...","...","...","...","43.7","...","...","...","...","...","...","...","...","...","36.8","...","..."
410,"Republic of Korea","...","...","...","...","...","...","0.2","...","0.2","...","0.5","...","0.2","...","...","...","...","..."
417,"Kyrgyzstan","42.2","36.4","34.2","28.1","13.6","15.4","9.9","9.9","4","2.1","4.1","1.8","2.9","3.3","1.3","2.5","1.4","..."
418,"Lao People's Democratic Republic","...","...","33.8","...","...","...","...","27","...","...","...","...","22.7","...","...","...","...","..."
422,"Lebanon","...","...","...","...","...","...","...","...","...","...","...","0","...","...","...","...","...","..."
