countryCode	countryName	Country	ISO	isRC	TierX	indicatorsAvailable	N	percent	N2	percent2
858	Uruguay	Uruguay	URY	TRUE	Tier III	1	1	100	41	2.4390243902439
860	Uzbekistan	Uzbekistan	UZB	TRUE	Tier I*	81	105	77.1428571428572	107	75.7009345794392
860	Uzbekistan	Uzbekistan	UZB	TRUE	Tier II	18	49	36.734693877551	84	21.4285714285714
860	Uzbekistan	Uzbekistan	UZB	TRUE	Tier III	0	1	0	41	0
862	Venezuela  Bolivarian Republic of 	Venezuela (Bolivarian Republic of)	VEN	TRUE	Tier I*	89	105	84.7619047619048	107	83.1775700934579
862	Venezuela  Bolivarian Republic of 	Venezuela (Bolivarian Republic of)	VEN	TRUE	Tier II	16	49	32.6530612244898	84	19.047619047619
862	Venezuela  Bolivarian Republic of 	Venezuela (Bolivarian Republic of)	VEN	TRUE	Tier III	0	1	0	41	0
882	Samoa	Samoa	WSM	TRUE	Tier I*	85	105	80.9523809523809	107	79.4392523364486
882	Samoa	Samoa	WSM	TRUE	Tier II	20	49	40.8163265306122	84	23.8095238095238
882	Samoa	Samoa	WSM	TRUE	Tier III	0	1	0	41	0
887	Yemen	Yemen	YEM	TRUE	Tier I*	92	105	87.6190476190476	107	85.981308411215
887	Yemen	Yemen	YEM	TRUE	Tier II	25	49	51.0204081632653	84	29.7619047619048
887	Yemen	Yemen	YEM	TRUE	Tier III	0	1	0	41	0
894	Zambia	Zambia	ZMB	TRUE	Tier I*	91	105	86.6666666666667	107	85.0467289719626
894	Zambia	Zambia	ZMB	TRUE	Tier II	16	49	32.6530612244898	84	19.047619047619
894	Zambia	Zambia	ZMB	TRUE	Tier III	0	1	0	41	0
